Frequency,M,Station,On,Off,Language,Site,TX Country,Days,Target,Power,Azimuth,Origin,Source
2485000,AM,Vanuatu Broadcasting and Television Corporation,10:00,19:00,Bislama,Port Vila,Vanuatu,1234567,,10,0,Vanuatu,HFCC
3195000,AM,"WNQM, Inc.",21:00,01:00,English,"Nashville, TN",United States,1234567,,100,46,United States,HFCC
3195000,AM,"WNQM, Inc.",21:00,01:00,English,"Nashville, TN",United States,1234567,,100,46,United States,HFCC
3195000,AM,"WNQM, Inc.",21:00,01:00,English,"Nashville, TN",United States,1234567,,100,46,United States,HFCC
3215000,AM,"WNQM, Inc.",01:00,12:00,English,"Nashville, TN",United States,1234567,,100,46,United States,HFCC
3215000,AM,"WNQM, Inc.",01:00,12:00,English,"Nashville, TN",United States,1234567,,100,46,United States,HFCC
3215000,AM,"WNQM, Inc.",01:00,12:00,English,"Nashville, TN",United States,1234567,,100,46,United States,HFCC
3215000,AM,"WNQM, Inc.",21:00,12:00,English,"Nashville, TN",United States,1234567,,100,46,United States,HFCC
3265000,AM,Allan H. Weiner,00:00,24:00,English,"Monticello, ME",United States,1234567,,50,245,United States,HFCC
3325000,AM,Radio Republic of Indonesia,10:00,11:00,English,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,11:00,12:00,Mandarin Chinese,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,12:00,13:00,Japanese,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,13:00,14:00,English,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,14:00,15:00,Indonesian,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,15:00,16:00,Mandarin Chinese,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,16:00,17:00,Arabic,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,18:00,19:00,Spanish,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,19:00,20:00,German,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,20:00,21:00,English,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,21:00,22:00,French,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,22:00,23:00,English,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,23:00,24:00,Japanese,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3900000,AM,China National Radio,09:00,14:40,Chinese,Hailar,China,1234567,,10,242,China,HFCC
3900000,AM,China National Radio,21:30,07:00,Chinese,Hailar,China,1234567,,10,242,China,HFCC
3930000,AM,The Overcomer Ministry,00:00,24:00,English,Sofia,Bulgaria,1234567,,20,0,Bulgaria,HFCC
3945000,AM,Vanuatu Broadcasting and Television Corporation,06:00,11:00,Bislama,Port Vila,Vanuatu,1234567,,10,0,Vanuatu,HFCC
3945000,AM,Vanuatu Broadcasting and Television Corporation,19:00,20:00,Bislama,Port Vila,Vanuatu,1234567,,10,0,Vanuatu,HFCC
3950000,AM,China National Radio,12:08,18:00,Chinese,Urumqi,China,1234567,,100,0,China,HFCC
3950000,AM,China National Radio,23:30,03:00,Chinese,Urumqi,China,1234567,,100,0,China,HFCC
3955000,AM,BBC Worldservice,04:59,06:00,English,Woofferton,United Kingdom,1234567,,100,114,United Kingdom,HFCC
3955000,AM,Channel 292 (Germany),07:00,20:00,German,Rohrbach,Germany,1234567,,1,0,Germany,HFCC
3955000,AM,Korean Broadcasting System,20:00,21:00,German,Woofferton,United Kingdom,1234567,,250,114,United Kingdom,HFCC
3955000,AM,Channel 292 (Germany),22:00,04:59,German,Rohrbach,Germany,1234567,,1,0,Germany,HFCC
3965000,AM,World Music Radio,00:00,23:59,Multiple languages,Hvidovre,Denmark,1234567,,2,0,Denmark,HFCC
3965000,AM,Radio Delta International,16:00,08:00,Dutch,Elburg,Netherlands,1234567,,5,0,Netherlands,HFCC
3975000,AM,Shortwave Radio Services (Germany),00:00,24:00,Multiple languages,Winsen,Germany,1234567,,5,0,Germany,HFCC
3985000,AM,China National Radio,12:00,16:05,Chinese,Geermu,China,1234567,,100,0,China,HFCC
3985000,AM,Radio Delta International,16:00,08:00,Dutch,Elburg,Netherlands,1234567,,5,0,Netherlands,HFCC
3985000,AM,Radio Horizon,16:00,24:00,Dutch,Ankum,Netherlands,1234567,,5,0,Netherlands,HFCC
3990000,AM,China National Radio,03:55,06:20,Chinese,Lanzhou,China,1234567,,10,0,China,HFCC
3990000,AM,China National Radio,10:25,13:45,Chinese,Lanzhou,China,1234567,,10,0,China,HFCC
3990000,AM,China National Radio,12:00,18:00,Uighur,Urumqi,China,1234567,,100,0,China,HFCC
3990000,AM,China National Radio,22:55,01:20,Chinese,Lanzhou,China,1234567,,10,0,China,HFCC
3990000,AM,China National Radio,23:30,03:00,Uighur,Urumqi,China,1234567,,100,0,China,HFCC
3995000,AM,Voice of the Andes,05:00,24:00,Multiple languages,Weenermoor,Germany,1234567,,1,90,Germany,HFCC
4500000,AM,China National Radio,00:00,03:30,Mongolian,Urumqi,China,1234567,,50,0,China,HFCC
4500000,AM,China National Radio,12:30,18:00,Mongolian,Urumqi,China,1234567,,50,0,China,HFCC
4750000,AM,China National Radio,19:58,17:30,Chinese,Hailar,China,1234567,,10,192,China,HFCC
4755000,AM,Radio Republic of Indonesia,10:00,11:00,English,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,11:00,12:00,Mandarin Chinese,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,12:00,13:00,Japanese,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,13:00,14:00,English,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,14:00,15:00,Indonesian,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,15:00,16:00,Mandarin Chinese,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,16:00,17:00,Arabic,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,18:00,19:00,Spanish,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,19:00,20:00,German,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,20:00,21:00,English,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,21:00,22:00,French,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,22:00,23:00,English,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,23:00,24:00,Japanese,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4760000,AM,All India Radio,01:30,04:10,Multiple languages,Leh,India,1234567,,10,130,India,HFCC
4760000,AM,All India Radio,10:30,17:00,Multiple languages,Leh,India,1234567,,10,130,India,HFCC
4760000,AM,All India Radio,12:00,16:30,Multiple languages,Leh,India,1234567,,10,130,India,HFCC
4800000,AM,China National Radio,20:25,18:05,Chinese,Geermu,China,1234567,,100,0,China,HFCC
4820000,AM,China National Radio,20:00,18:00,Chinese,Lhasa,China,1234567,,100,0,China,HFCC
4830000,AM,Mongol Radio & Television,23:00,16:00,Mongolian,Ulan Bator,Mongolia,1234567,,10,0,Mongolia,HFCC
4840000,AM,"WNQM, Inc.",00:00,12:00,English,"Nashville, TN",United States,1234567,,100,40,United States,HFCC
4840000,AM,"WNQM, Inc.",00:00,12:00,English,"Nashville, TN",United States,1234567,,100,40,United States,HFCC
4840000,AM,"WNQM, Inc.",00:00,12:00,English,"Nashville, TN",United States,1234567,,100,40,United States,HFCC
4850000,AM,China National Radio,00:00,03:28,Kazakh,Urumqi,China,1234567,,100,0,China,HFCC
4850000,AM,China National Radio,11:58,18:00,Kazakh,Urumqi,China,1234567,,100,0,China,HFCC
4895000,AM,Mongol Radio & Television,23:00,16:00,Mongolian,Ulan Bator,Mongolia,1234567,,10,0,Mongolia,HFCC
4905000,AM,China National Radio,20:50,18:05,Tibetan,Lhasa,China,1234567,,100,0,China,HFCC
4920000,AM,China National Radio,20:50,18:05,Tibetan,Lhasa,China,1234567,,100,0,China,HFCC
4980000,AM,China National Radio,12:00,18:00,Uighur,Urumqi,China,1234567,,50,230,China,HFCC
4980000,AM,China National Radio,23:30,03:00,Uighur,Urumqi,China,1234567,,50,230,China,HFCC
4990000,AM,China National Radio,03:00,05:00,Chinese,Wuhan,China,1234567,,2,0,China,HFCC
