Frequency,Mode,Station,On,Off,Language,Site,TX Country,Days,Target,Power,Azimuth,Origin,Source,Stn,Call sign,Additional info,Remarks,Position of site,Active,Year
11650000,AM,China Radio International,0400,0457,Vietnamese,Kunming-Anning,China,1234567,seASn,100,184,China,ILGRadio,CRI,,,,"102 29 44E,24 52 54N",C,2212
11650000,AM,China Radio International,0500,0557,Vietnamese,Kunming-Anning,China,1234567,seASn,100,184,China,ILGRadio,CRI,,,,"102 29 44E,24 52 54N",C,2212
11650000,AM,China Radio International,1400,1457,Amoy (Music),Kunming-Anning,China,1234567,seAS,150,177,China,ILGRadio,CRI,,,,"102 29 44E,24 52 54N",C,2212
11650000,AM,CGTN Radio (China Radio Int.),1100,1200,English,Urumqui,China,1234567,sAS,500,212,China,ILGRadio,CRI,,,,"086 53 49E,44 08 53N",C,2212
11650000,AM,CGTN Radio (China Radio Int.),1200,1300,English,Urumqui,China,1234567,sAS,500,212,China,ILGRadio,CRI,,,,"086 53 49E,44 08 53N",C,2212
11650000,AM,Chinese Jammer,0900,1000,Mandarin,Kashi II,China,1234567,(CHN   ),250,90,China,ILGRadio,Jamme,,,JAMMING VOA MAN,"075 42 55E,39 21 51N",C,2211
11650000,AM,Chinese Jammer,1000,1100,Mandarin,Kashi II,China,1234567,(CHN   ),250,90,China,ILGRadio,Jamme,,,JAMMING VOA MAN,"075 42 55E,39 21 51N",C,2211
11650000,AM,Norddeutscher Rundfunk,1800,2100,German,Issoudun,France,......7,seAF,250,148,France,ILGRadio,NDR,,,24.December onl,"001 54 09E,46 57 02N",C,
11650000,AM,Voice of Islamic Rep.of Iran,2223,2320,Hausa,Sirjan,Iran,1234567,wAF,500,263,Iran,ILGRadio,VOIRI,,,,"055 47 03E,29 35 49N",C,2211
11650000,AM,R.Dabanga,0430,0457,Arabic,Talata-Volondry,Madagascar,1234567,eAF,250,335,Madagascar,ILGRadio,DABAN,,RD,,"047 36 55E,18 45 08S",C,2211
11650000,AM,R.Tamazuj,0330,0430,Arabic,Talata-Volondry,Madagascar,1234567,eAF,250,335,Madagascar,ILGRadio,TAMAZ,,RT,,"047 36 55E,18 45 08S",C,2211
11650000,AM,Voice of America,0900,1000,Mandarin,Udon Thani,Thailand,1234567,cAS,250,6,Thailand,ILGRadio,VOA,,,,"103 12 00E,17 40 31N",C,2211
11650000,AM,Voice of America,1000,1100,Mandarin,Udon Thani,Thailand,1234567,cAS,250,6,Thailand,ILGRadio,VOA,,,,"103 12 00E,17 40 31N",C,2211
11650000,DRM,Chinese Jammer,0900,1000,DRM Mandarin,Dongfang,China,1234567,(CHNe  ),30,5,China,ILGRadio,Jamme,,,JAMMING VOA MAN,"108 40 50E,18 52 20N",C,
11650000,DRM,Chinese Jammer,1000,1100,DRM Mandarin,Dongfang,China,1234567,(CHN   ),30,5,China,ILGRadio,Jamme,,,JAMMING VOA MAN,"108 40 50E,18 52 20N",C,2211
11655000,AM,IBRA Radio,1500,1530,Pashto,Al Dabbiya,Unit.Arab Emirates,1234567,neME,250,45,United Arab Emirates,ILGRadio,IBRA,,,,"054 14 58E,24 10 11N",C,
11655000,AM,IBRA Radio,1600,1630,Afar,Al Dabbiya,Unit.Arab Emirates,1234567,eAF,250,230,United Arab Emirates,ILGRadio,IBRA,,,,"054 14 58E,24 10 11N",C,2211
11660000,AM,BBC World Service,0700,0729,French,Ascension,Ascension Island,1234567,wAF,250,27,Ascension Island,ILGRadio,BBC,,,,"014 22 37W,07 53 53S",C,2211
11660000,AM,BBC World Service,1930,2000,Hausa,Ascension,Ascension Island,12345.7,wAFse,125,55,Ascension Island,ILGRadio,BBC,,,,"014 22 37W,07 53 53S",C,
