#++
#
#   Frequency Database
#   ==================
#
#   Created: 29-Mar-2026 15:32:45
#
#   The column names are the database fields
#
#   When importing:
#       Rows starting with # are treated as comments
#       Missing fields are left empty
#       Invalid fields are ignored
#       First field must be Frequency
#       Frequency value is in kHz not Hz
#       Source is set to Custom
#       Added is set to the current date & time
#
#--
Frequency,Station,Site,Azi,Dist,Locator,RDS_PI,RDS_PS,CallID,Language,TX_Country,Time_On,Time_Off,Days,Target,Notes,Pwr,M,Org_Country,Lat,Lon,ITU,Polarity,Source,Date
"2485000","Vanuatu Broadcasting and Television Corporation","","0","","","","","","Bis","VUT","1000","1900","1234567","56,51","NZL","10","","PVL","","","","","HFCC","2026-03-29 15:32"
"3195000","WNQM, Inc.","","46","","","","","","Eng","USA","2100","0100","1234567","4,9,27,37-39","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"3195000","WNQM, Inc.","","46","","","","","","Eng","USA","2100","0100","1234567","4,9,27,37-39","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"3195000","WNQM, Inc.","","46","","","","","","Eng","USA","2100","0100","1234567","4,9,27,37-39","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"3215000","WNQM, Inc.","","46","","","","","","Eng","USA","0100","1200","1234567","4,9,27,37-39","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"3215000","WNQM, Inc.","","46","","","","","","Eng","USA","0100","1200","1234567","4,9,27,37-39","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"3215000","WNQM, Inc.","","46","","","","","","Eng","USA","0100","1200","1234567","4,9,27,37-39","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"3215000","WNQM, Inc.","","46","","","","","","Eng","USA","2100","1200","1234567","4,9,27,37-39","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"3265000","Allan H. Weiner","","245","","","","","","Eng","USA","0000","2400","1234567","3-5,9-11","","50","","BCQ","","","","","HFCC","2026-03-29 15:32"
"3325000","Radio Republic of Indonesia","","0","","","","","","Eng","INS","1000","1100","1234567","54E","","40","","PGA","","","","","HFCC","2026-03-29 15:32"
"3325000","Radio Republic of Indonesia","","0","","","","","","Cmn","INS","1100","1200","1234567","54E","","40","","PGA","","","","","HFCC","2026-03-29 15:32"
"3325000","Radio Republic of Indonesia","","0","","","","","","Jpn","INS","1200","1300","1234567","54E","","40","","PGA","","","","","HFCC","2026-03-29 15:32"
"3325000","Radio Republic of Indonesia","","0","","","","","","Eng","INS","1300","1400","1234567","54E","","40","","PGA","","","","","HFCC","2026-03-29 15:32"
"3325000","Radio Republic of Indonesia","","0","","","","","","Ind","INS","1400","1500","1234567","54E","","40","","PGA","","","","","HFCC","2026-03-29 15:32"
"3325000","Radio Republic of Indonesia","","0","","","","","","Cmn","INS","1500","1600","1234567","54E","","40","","PGA","","","","","HFCC","2026-03-29 15:32"
"3325000","Radio Republic of Indonesia","","0","","","","","","Ara","INS","1600","1700","1234567","54E","","40","","PGA","","","","","HFCC","2026-03-29 15:32"
"3325000","Radio Republic of Indonesia","","0","","","","","","Spa","INS","1800","1900","1234567","54E","","40","","PGA","","","","","HFCC","2026-03-29 15:32"
"3325000","Radio Republic of Indonesia","","0","","","","","","Deu","INS","1900","2000","1234567","54E","","40","","PGA","","","","","HFCC","2026-03-29 15:32"
"3325000","Radio Republic of Indonesia","","0","","","","","","Eng","INS","2000","2100","1234567","54E","","40","","PGA","","","","","HFCC","2026-03-29 15:32"
"3325000","Radio Republic of Indonesia","","0","","","","","","Fra","INS","2100","2200","1234567","54E","","40","","PGA","","","","","HFCC","2026-03-29 15:32"
"3325000","Radio Republic of Indonesia","","0","","","","","","Eng","INS","2200","2300","1234567","54E","","40","","PGA","","","","","HFCC","2026-03-29 15:32"
