Frequency,M,Station,On,Off,Language,Site,TX Country,Days,Target,Power,Azimuth,Origin,Source
16300,,VTX1 Indian Navy,0000,2400,,,India,,South Asia,,,India,EiBi
16300,AM,VTX1 Indian Navy,0000,2400,?,Vijayanarayanam (Tamil Nadu),,smtwtfs,SAs,,,,EiBi
16400,,JXN Noviken Sub comms,0000,2400,,,Norway,,North Atlantic Ocean,,,Norway,EiBi
16400,AM,JXN Noviken Sub comms,0000,2400,?,Novik,,smtwtfs,NAO,,,,EiBi
17000,,VTX2 Indian Navy,0000,2400,,,India,,South Asia,,,India,EiBi
17000,AM,VTX2 Indian Navy,0000,2400,?,Vijayanarayanam (Tamil Nadu),,smtwtfs,SAs,,,,EiBi
18100,,RDL Russian Navy,0000,2400,Morse,,Russian Federation,,Russian Federation,,,Russian Federation,EiBi
18100,AM,RDL Russian Navy,0000,2400,CW,Unknown site(s),,smtwtfs,RUS,,,,EiBi
18200,,VTX3 Indian Navy,0000,2400,,,India,,South Asia,,,India,EiBi
18200,AM,VTX3 Indian Navy,0000,2400,?,Vijayanarayanam (Tamil Nadu),,smtwtfs,SAs,,,,EiBi
19200,,VTX4 Indian Navy,0000,2400,,,India,,South Asia,,,India,EiBi
19200,AM,VTX4 Indian Navy,0000,2400,?,Vijayanarayanam (Tamil Nadu),,smtwtfs,SAs,,,,EiBi
19580,,GBZ Anthorn,0000,2400,,,United Kingdom,,North Atlantic Ocean,,,United Kingdom,EiBi
19580,AM,GBZ Anthorn,0000,2400,?,Anthorn,,smtwtfs,NAO,,,,EiBi
20500,,RJH69 Molodechno,0741,0747,Time Signal,,Belarus,,East Europe,,,Belarus,EiBi
20500,,RJH66 Bishkek,0441,0447,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
20500,,RJH66 Bishkek,1041,1047,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
20500,,RJH63 Krasnodar,1131,1141,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
20500,,RJH77 Arkhangelsk,0941,0947,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
20500,,RJH99 Nizhni Novgorod,0841,0847,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
20500,CW,RJH66 Bishkek,0441,0447,Time Signal,Bishkek Beta,,smtwtfs,CAs,,,,EiBi
20500,AM,RJH69,0741,0747,Time Signal,Molodechno/Vileyka (43 Comm Center Russian Navy),,smtwtfs,EEu,,,,EiBi
20500,CW,RJH99 Nizhni Novgorod,0841,0847,Time Signal,Nizhni Novgorod,,smtwtfs,EEu,,,,EiBi
20500,CW,RJH77 Arkhangelsk,0941,0947,Time Signal,Arkhangelsk Beta,,smtwtfs,EEu,,,,EiBi
20500,CW,RJH66 Bishkek,1041,1047,Time Signal,Bishkek Beta,,smtwtfs,CAs,,,,EiBi
20500,CW,RJH63 Krasnodar,1131,1141,Time Signal,Krasnodar,,smtwtfs,EEu,,,,EiBi
23000,,RJH69 Molodechno,0735,0741,Time Signal,,Belarus,,East Europe,,,Belarus,EiBi
23000,,RJH66 Bishkek,0435,0441,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
23000,,RJH66 Bishkek,1035,1041,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
23000,,RJH63 Krasnodar,1126,1131,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
23000,,RJH77 Arkhangelsk,0935,0941,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
23000,,RJH99 Nizhni Novgorod,0835,0841,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
23000,CW,RJH66 Bishkek,0435,0441,Time Signal,Bishkek Beta,,smtwtfs,CAs,,,,EiBi
23000,AM,RJH69,0735,0741,Time Signal,Molodechno/Vileyka (43 Comm Center Russian Navy),,smtwtfs,EEu,,,,EiBi
23000,CW,RJH99 Nizhni Novgorod,0835,0841,Time Signal,Nizhni Novgorod,,smtwtfs,EEu,,,,EiBi
23000,CW,RJH77 Arkhangelsk,0935,0941,Time Signal,Arkhangelsk Beta,,smtwtfs,EEu,,,,EiBi
23000,CW,RJH66 Bishkek,1035,1041,Time Signal,Bishkek Beta,,smtwtfs,CAs,,,,EiBi
23000,CW,RJH63 Krasnodar,1126,1131,Time Signal,Krasnodar,,smtwtfs,EEu,,,,EiBi
25000,,RJH69 Molodechno,0700,0725,Time Signal,,Belarus,,East Europe,,,Belarus,EiBi
25000,,RJH66 Bishkek,0400,0425,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
25000,,RJH66 Bishkek,1000,1025,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
25000,,RJH63 Krasnodar,1100,1120,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
25000,,RJH77 Arkhangelsk,0900,0925,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
25000,,RJH99 Nizhni Novgorod,0800,0825,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
25000,CW,RJH66 Bishkek,0400,0425,Time Signal,Bishkek Beta,,smtwtfs,CAs,,,,EiBi
25000,AM,RJH69,0700,0725,Time Signal,Molodechno/Vileyka (43 Comm Center Russian Navy),,smtwtfs,EEu,,,,EiBi
25000,CW,RJH99 Nizhni Novgorod,0800,0825,Time Signal,Nizhni Novgorod,,smtwtfs,EEu,,,,EiBi
25000,CW,RJH77 Arkhangelsk,0900,0925,Time Signal,Arkhangelsk Beta,,smtwtfs,EEu,,,,EiBi
25000,CW,RJH66 Bishkek,1000,1025,Time Signal,Bishkek Beta,,smtwtfs,CAs,,,,EiBi
25000,CW,RJH63 Krasnodar,1100,1120,Time Signal,Krasnodar,,smtwtfs,EEu,,,,EiBi
25100,,RJH69 Molodechno,0725,0730,Time Signal,,Belarus,,East Europe,,,Belarus,EiBi
25100,,RJH66 Bishkek,0425,0430,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
25100,,RJH66 Bishkek,1025,1030,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
25100,,RJH63 Krasnodar,1120,1123,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
25100,,RJH77 Arkhangelsk,0925,0930,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
25100,,RJH99 Nizhni Novgorod,0825,0830,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
25100,CW,RJH66 Bishkek,0425,0430,Time Signal,Bishkek Beta,,smtwtfs,CAs,,,,EiBi
25100,AM,RJH69,0725,0730,Time Signal,Molodechno/Vileyka (43 Comm Center Russian Navy),,smtwtfs,EEu,,,,EiBi
25100,CW,RJH99 Nizhni Novgorod,0825,0830,Time Signal,Nizhni Novgorod,,smtwtfs,EEu,,,,EiBi
25100,CW,RJH77 Arkhangelsk,0925,0930,Time Signal,Arkhangelsk Beta,,smtwtfs,EEu,,,,EiBi
25100,CW,RJH66 Bishkek,1025,1030,Time Signal,Bishkek Beta,,smtwtfs,CAs,,,,EiBi
25100,CW,RJH63 Krasnodar,1120,1123,Time Signal,Krasnodar,,smtwtfs,EEu,,,,EiBi
25500,,RJH69 Molodechno,0730,0735,Time Signal,,Belarus,,East Europe,,,Belarus,EiBi
25500,,RJH66 Bishkek,0430,0435,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
25500,,RJH66 Bishkek,1030,1035,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
25500,,RJH63 Krasnodar,1123,1126,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
25500,,RJH77 Arkhangelsk,0930,0935,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
25500,,RJH99 Nizhni Novgorod,0830,0835,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
25500,CW,RJH66 Bishkek,0430,0435,Time Signal,Bishkek Beta,,smtwtfs,CAs,,,,EiBi
25500,AM,RJH69,0730,0735,Time Signal,Molodechno/Vileyka (43 Comm Center Russian Navy),,smtwtfs,EEu,,,,EiBi
25500,CW,RJH99 Nizhni Novgorod,0830,0835,Time Signal,Nizhni Novgorod,,smtwtfs,EEu,,,,EiBi
25500,CW,RJH77 Arkhangelsk,0930,0935,Time Signal,Arkhangelsk Beta,,smtwtfs,EEu,,,,EiBi
25500,CW,RJH66 Bishkek,1030,1035,Time Signal,Bishkek Beta,,smtwtfs,CAs,,,,EiBi
25500,CW,RJH63 Krasnodar,1123,1126,Time Signal,Krasnodar,,smtwtfs,EEu,,,,EiBi
27300,,RDL Russian Navy,0000,2400,Morse,,Belarus relay,,East Europe,,,Russian Federation,EiBi
27300,AM,RDL Russian Navy,0000,2400,CW,Molodechno/Vileyka (43 Comm Center Russian Navy),,smtwtfs,EEu,,,,EiBi
37500,,TFK US Navy Grindavik,0000,2400,,,Iceland,,North Europe,,,Iceland,EiBi
37500,AM,TFK US Navy Grindavik,0000,2400,?,Keflavik/Grindavik,,smtwtfs,NEu,,,,EiBi
40000,AM,Time Signal,0000,2400,A1B,Otakadoyama Tamura C,Japan,1234567,,50,ND,NICT,Aoki
40000,,"JJY (ID x15,x45)",0000,2400,Time Signal,,Japan,,Far East,,,Japan,EiBi
40000,CW,"JJY (ID x15,x45)",0000,2400,Time Signal,Mount Otakadoya,,smtwtfs,FE,,,,EiBi
40000,CW,Time Signal,0000,2400,Time Signals,Otakadoyama Tamura C,,smtwtfs,,,,,Aoki
60000,AM,WWVB,0000,2400,PWM/PM,Colorado Denver,USA,1234567,,5,ND,WWVB,Aoki
60000,AM,Time Signal,0000,2400,A1B,Haganeyama,Japan,1234567,,50,ND,NICT,Aoki
60000,,MSF Time from NPL,0000,2400,Time Signal,,United Kingdom,,Europe,,,United Kingdom,EiBi
60000,,"JJY (ID x15,x45)",0000,2400,Time Signal,,Japan,,Far East,,,Japan,EiBi
60000,,WWVB Colorado,0000,2400,Time Signal,,USA,,USA,,,USA,EiBi
60000,CW,"JJY (ID x15,x45)",0000,2400,Time Signal,Mount Hagane,,smtwtfs,FE,,,,EiBi
60000,CW,MSF Time from NPL,0000,2400,Time Signal,Anthorn,,smtwtfs,Eu,,,,EiBi
60000,CW,Time Signal,0000,2400,Time Signals,Haganeyama,,smtwtfs,,,,,Aoki
60000,AM,WWVB,0000,2400,PWM/PM,Colorado Denver,,smtwtfs,,,,,Aoki
60000,CW,WWVB Colorado,0000,2400,Time Signal,"Fort Collins, CO",,smtwtfs,USA,,,,EiBi
66660,,RBU Time Signal,0000,2400,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
66660,AM,RBU Time Signal,0000,2400,Time Signal,Taldom - Severnyj,,smtwtfs,EEu,,,,EiBi
68500,,BPC Time Signal,0000,2100,Time Signal,,China,,Far East,,,China,EiBi
68500,AM,BPC Time Signal,0000,2100,Time Signal,Shangqiu (Henan),,smtwtfs,FE,,,,EiBi
77500,,DCF77 Mainflingen,0000,2400,Time Signal,,Germany,,Europe,,,Germany,EiBi
77500,PSK,DCF77 Mainflingen,0000,2400,Time Signal,Mainflingen,,smtwtfs,Eu,,,,EiBi
100000,AM,BPL Time Signal,0000,2400,,Pucheng,China,1234567,,,,,Aoki
100000,,BPL Time Signal,0000,2400,Time Signal,,China,,Far East,,,China,EiBi
100000,AM,BPL Time Signal,0000,2400,Time Signal,Pucheng (Shaanxi),,smtwtfs,FE,,,,EiBi
128900,,EFR Teleswitch,0000,2400,,,Germany,,Central Europe,,,Germany,EiBi
128900,USB,EFR Teleswitch,0000,2400,?,Mainflingen,,smtwtfs,CEu,,,,EiBi
135400,,EFR Teleswitch,0000,2400,,,Hungary,,Central Europe,,,Hungary,EiBi
135400,USB,EFR Teleswitch,0000,2400,?,Lakihegy,,smtwtfs,CEu,,,,EiBi
138800,,EFR Teleswitch,0000,2400,,,Germany,,Central Europe,,,Germany,EiBi
138800,USB,EFR Teleswitch,0000,2400,?,Burg,,smtwtfs,CEu,,,,EiBi
147300,,DWD 2 Pinneberg RTTY,0000,2400,E,,Germany,,Europe,,,Germany,EiBi
147300,AM,DWD 2 Pinneberg RTTY,0000,2400,English,Pinneberg,,smtwtfs,Eu,,,,EiBi
153000,AM,Antena Satelor,0355,2000,Romanian,Brasov/Bod Colonie,Romania,1234567,,100,ND,SRR,Aoki
153000,AM,Antena Satelor,0355,2000,Romanian,Brasov/Bod Colonie,,smtwtfs,,,,,Aoki
162000,AM,Time Signal,0000,2400,French,Allouis,France,1234567,,800,,TDF,Aoki
162000,,ALS162 Time Signals,1000,0600,Time Signal,,France,,France,,,France,EiBi
162000,,ALS162 Time Signals,0600,1000,Time Signal,,France,We-Mo,France,,,France,EiBi
162000,AM,Time Signal,0000,2400,French,Allouis,,smtwtfs,,,,,Aoki
162000,AM,ALS162 Time Signals,0700,1100,Time Signal,Allouis,,sm.wtfs,F,,,,EiBi
162000,AM,ALS162 Time Signals,1100,0700,Time Signal,Allouis,,smtwtfs,F,,,,EiBi
164000,AM,Mongolian Radio 1,2300,1600,Mongolian,Ulaanbaatar,Mongolia,1234567,,500,ND,MNR,Aoki
164000,AM,Mongolian R.1,2300,1600,Mongolian,Ulaanbaatar,,smtwtfs,,,,,Aoki
171000,AM,"Radio Mediterranee Int'l,",0500,2400,French/Arabic/      1,Nador,Morocco,1234567,,600,ND,MEDI1,Aoki
171000,AM,"Radio Mediterranee Intl,",0500,2400,French/Arabic/,Nador,,smtwtfs,,,,,Aoki
198000,AM,BBC R4,0500,0100,English,Droitwich,United Kingdom,23456,,250,,BBC R4,Aoki
198000,AM,BBC R4,0520,0100,English,Burghead,United Kingdom,1234567,,25,,BBC R4,Aoki
198000,AM,BBC R4,0520,0100,English,Westerglen,United Kingdom,1234567,,25,,BBC R4,Aoki
198000,AM,BBC R4,0520,0100,English,Droitwich,,smtwtfs,,,,,Aoki
198000,AM,BBC R4,0520,0100,English,Westerglen,,smtwtfs,,,,,Aoki
207000,AM,Rikisutvarpid Ras 1+2,0000,2400,Icelandic,Gufuskalar,Iceland,1234567,,100,,RUV,Aoki
207000,AM,Rikisutvarpid Ras 1+2,0000,2400,Icelandic,Gufuskalar,,smtwtfs,,,,,Aoki
209000,AM,Mongolian Radio 1,2300,1600,Mongolian,Choibalsan,Mongolia,1234567,,75,ND,MNR,Aoki
209000,AM,Mongolian Radio 1,2300,1600,Mongolian,Dalanzadgad,Mongolia,1234567,,75,ND,MNR,Aoki
209000,AM,Mongolian Radio 1,2300,1600,Mongolian,Ulgii,Mongolia,1234567,,75,ND,MNR,Aoki
209000,AM,Mongolian R.1,2300,1600,Mongolian,Choibalsan,,smtwtfs,,,,,Aoki
209000,AM,Mongolian R.1,2300,1600,Mongolian,Dalanzadgad,,smtwtfs,,,,,Aoki
209000,AM,Mongolian R.1,2300,1600,Mongolian,Ulgii,,smtwtfs,,,,,Aoki
225000,AM,Polskie Radio 1,0440,0450,Belarussian         1,Solec Kujawski,Poland,.234567,,000,ND,POR,Aoki
225000,AM,Polskie Radio 1,0906,0916,Ukrainian           1,Solec Kujawski,Poland,1234567,,000,ND,POR,Aoki
225000,AM,Polskie Radio 1,1000,0959,Polish              1,Solec Kujawski,Poland,1234567,,000,ND,POR,Aoki
225000,AM,Polskie Radio 1,1010,1020,Belarussian         1,Solec Kujawski,Poland,1,,000,ND,POR,Aoki
225000,AM,Polskie Radio 1,1020,1030,Belarussian         1,Solec Kujawski,Poland,.234567,,000,ND,POR,Aoki
225000,AM,Polskie Radio 1,1306,1316,Ukrainian           1,Solec Kujawski,Poland,1234567,,000,ND,POR,Aoki
225000,AM,Polskie Radio 1,1606,1616,Ukrainian           1,Solec Kujawski,Poland,1234567,,000,ND,POR,Aoki
225000,AM,Polskie Radio 1,1905,1915,Belarussian         1,Solec Kujawski,Poland,1,,000,ND,POR,Aoki
225000,AM,Polskie Radio 1,2020,2030,Belarussian         1,Solec Kujawski,Poland,1234567,,000,ND,POR,Aoki
225000,AM,Polskie Radio 1,0440,0450,Belarusian,Solec Kujawski,,.mtwtfs,,,,,Aoki
225000,AM,Polskie Radio 1,0906,0916,Ukrainian,Solec Kujawski,,smtwtfs,,,,,Aoki
225000,AM,Polskie Radio 1,1000,0959,Polish,Solec Kujawski,,smtwtfs,,,,,Aoki
225000,AM,Polskie Radio 1,1010,1020,Belarusian,Solec Kujawski,,s......,,,,,Aoki
225000,AM,Polskie Radio 1,1020,1030,Belarusian,Solec Kujawski,,.mtwtfs,,,,,Aoki
225000,AM,Polskie Radio 1,1306,1316,Ukrainian,Solec Kujawski,,smtwtfs,,,,,Aoki
225000,AM,Polskie Radio 1,1606,1616,Ukrainian,Solec Kujawski,,smtwtfs,,,,,Aoki
225000,AM,Polskie Radio 1,1905,1915,Belarusian,Solec Kujawski,,s......,,,,,Aoki
225000,AM,Polskie Radio 1,2020,2030,Belarusian,Solec Kujawski,,smtwtfs,,,,,Aoki
227000,AM,Mongolian Radio 1,2300,1600,Mongolian,Altay,Mongolia,1234567,,75,ND,MNR,Aoki
227000,AM,Mongolian R.1,2300,1600,Mongolian,Altay,,smtwtfs,,,,,Aoki
252000,AM,R.Algerienne Chaine 3,0000,2400,French,Tipaza,Algeria,1234567,,750,ND,ALG3,Aoki
252000,AM,R.Algerienne Chaine 3,0000,2400,French,Tipaza,,smtwtfs,,,,,Aoki
531000,AM,R.Algerie Internationale,0000,2400,Ara/Fre/Eng/Spa,F'Kirina,Algeria,1234567,,600,,ALGI,Aoki
531000,AM,NHK 1 Niihama,0000,2400,Japanese,Ehime-Niihama,Japan,1234567,,0.5,,,Aoki
531000,AM,NHK 1 Nago,0000,2400,Japanese,Okinawa-Nago,Japan,1234567,,1,,,Aoki
531000,AM,NHK 1 Morioka,0000,2400,Japanese,Iwate-Morioka,Japan,1234567,,10,,JOQG,Aoki
531000,AM,NHK 1 Imari,0000,2400,Japanese,Saga-Imari,Japan,1234567,,0.1,,,Aoki
531000,AM,Kringvarp ForoyaUt.,0000,2400,Faroese,Akraberg,Faroe Islands,1234567,,10,ND,KVF,Aoki
531000,,R.Algiers Int.,0450,1330,"A,F",,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,1330,1400,E,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,1400,1430,S,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,1430,1600,A,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,1600,1630,F,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,1630,1700,A,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,1700,1730,F,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,1730,1900,A,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,1900,1930,E,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,1930,2000,S,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,2000,2200,A,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,2200,2300,F,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,2300,2315,E,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,2315,2330,S,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,2330,0450,"A,F",,Algeria,,North Africa,,,Algeria,EiBi
531000,AM,Kringvarp ForoyaUt.,0000,2400,Faroese,Akraberg,,smtwtfs,,,,,Aoki
531000,AM,NHK 1 Imari,0000,2400,Japanese,Saga-Imari,,smtwtfs,,,,,Aoki
531000,AM,NHK 1 Morioka,0000,2400,Japanese,Iwate-Morioka,,smtwtfs,,,,,Aoki
531000,AM,NHK 1 Nago,0000,2400,Japanese,Okinawa-Nago,,smtwtfs,,,,,Aoki
531000,AM,NHK 1 Niihama,0000,2400,Japanese,Ehime-Niihama,,smtwtfs,,,,,Aoki
531000,AM,R.Algerie Internationale,0000,2400,Ara/Fre/Eng/Spa,FKirina,,smtwtfs,,,,,Aoki
531000,AM,R.Algiers Int.,0450,1330,Arabic/French,FKirina (A�n Be�da),,smtwtfs,NAf,,,,EiBi
531000,AM,R.Algiers Int.,1330,1400,English,FKirina (A�n Be�da),,smtwtfs,NAf,,,,EiBi
531000,AM,R.Algiers Int.,1400,1430,Spanish,FKirina (A�n Be�da),,smtwtfs,NAf,,,,EiBi
531000,AM,R.Algiers Int.,1430,1600,Arabic,FKirina (A�n Be�da),,smtwtfs,NAf,,,,EiBi
531000,AM,R.Algiers Int.,1600,1630,French,FKirina (A�n Be�da),,smtwtfs,NAf,,,,EiBi
531000,AM,R.Algiers Int.,1630,1700,Arabic,FKirina (A�n Be�da),,smtwtfs,NAf,,,,EiBi
531000,AM,R.Algiers Int.,1700,1730,French,FKirina (A�n Be�da),,smtwtfs,NAf,,,,EiBi
531000,AM,R.Algiers Int.,1730,1900,Arabic,FKirina (A�n Be�da),,smtwtfs,NAf,,,,EiBi
531000,AM,R.Algiers Int.,1900,1930,English,FKirina (A�n Be�da),,smtwtfs,NAf,,,,EiBi
531000,AM,R.Algiers Int.,1930,2000,Spanish,FKirina (A�n Be�da),,smtwtfs,NAf,,,,EiBi
531000,AM,R.Algiers Int.,2000,2200,Arabic,FKirina (A�n Be�da),,smtwtfs,NAf,,,,EiBi
531000,AM,R.Algiers Int.,2200,2300,French,FKirina (A�n Be�da),,smtwtfs,NAf,,,,EiBi
531000,AM,R.Algiers Int.,2300,2315,English,FKirina (A�n Be�da),,smtwtfs,NAf,,,,EiBi
531000,AM,R.Algiers Int.,2315,2330,Spanish,FKirina (A�n Be�da),,smtwtfs,NAf,,,,EiBi
531000,AM,R.Algiers Int.,2330,0450,Arabic/French,FKirina (A�n Be�da),,smtwtfs,NAf,,,,EiBi
540000,AM,Yaan Kraw haa-sii-suun,0000,2400,Thai,Bangkok,Thailand,1234567,,10,,,Aoki
540000,AM,R.KUWAIT,0000,2400,Arabic,Sulaibiyah,Kuwait,1234567,,600,ND,MOI b25,Aoki
540000,AM,P1-Kossuth Radio,0330,2130,Hungarian           1,Solt,Hungary,1234567,,000,ND,MR1,Aoki
540000,AM,NHK 1 Yamagata,0000,2400,Japanese,Yamagata,Japan,1234567,,5,,JOJG,Aoki
540000,AM,NHK 1 Nanao,0000,2400,Japanese,Ishikawa-Nanao,Japan,1234567,,1,,,Aoki
540000,AM,NHK 1 Miyazaki,0000,2400,Japanese,Miyazaki,Japan,1234567,,5,,JOMG,Aoki
540000,AM,NHK 1 Matsumoto,0000,2400,Japanese,Matsumoto,Japan,1234567,,1,,,Aoki
540000,AM,NHK 1 Kitakyushu,0000,2400,Japanese,Fukuoka-Kitakyushu,Japan,1234567,,1,,JOSK,Aoki
540000,AM,NHK 1 Ishigaku,0000,2400,Japanese,Okinawa-Ishigaki,Japan,1234567,,5,,,Aoki
540000,AM,CNR 1 Voice of China,0000,2400,Chinese,Jagdaqi-Heilongjiang,China,1234567,,10,,CNR1 b25,Aoki
540000,AM,CNR 1 Voice of China,0000,2400,Chinese,Jagdaqi-Heilongjiang,,smtwtfs,,,,,Aoki
540000,AM,NHK 1 Ishigaku,0000,2400,Japanese,Okinawa-Ishigaki,,smtwtfs,,,,,Aoki
540000,AM,NHK 1 Kitakyushu,0000,2400,Japanese,Fukuoka-Kitakyushu,,smtwtfs,,,,,Aoki
540000,AM,NHK 1 Matsumoto,0000,2400,Japanese,Matsumoto,,smtwtfs,,,,,Aoki
540000,AM,NHK 1 Miyazaki,0000,2400,Japanese,Miyazaki,,smtwtfs,,,,,Aoki
540000,AM,NHK 1 Nanao,0000,2400,Japanese,Ishikawa-Nanao,,smtwtfs,,,,,Aoki
540000,AM,NHK 1 Yamagata,0000,2400,Japanese,Yamagata,,smtwtfs,,,,,Aoki
540000,AM,R.Kuwait,0000,2400,Arabic,Sulaibiyah,,smtwtfs,,,,,Aoki
540000,AM,Yaan Kraw haa-sii-suun,0000,2400,Thai,Bangkok,,smtwtfs,,,,,Aoki
540000,AM,P1-Kossuth Radio,0330,2130,Hungarian,Solt,,smtwtfs,,,,,Aoki
549000,AM,UR 1 Persha Programa,0000,2400,Ukrainian,Mykolaiv Luch,Ukraine,1234567,,400,,UR 1,Aoki
549000,AM,NHK 1 Naha,0000,2400,Japanese,Okinawa-Naha,Japan,1234567,,10,,JOAP,Aoki
549000,AM,CNR 5,2055,1705,Chinese             1,Putian Fujian 824,China,1234567,,200,,CNR5,Aoki
549000,,CNR5 Cross-Strait Radio,0000,0900,M,,China,,Taiwan,,,China,EiBi
549000,,CNR5 Cross-Strait Radio,0900,1000,M,,China,,Taiwan,,,China,EiBi
549000,,CNR5 Cross-Strait Radio,1000,1705,M,,China,,Taiwan,,,China,EiBi
549000,,CNR5 Cross-Strait Radio,2055,2300,M,,China,,Taiwan,,,China,EiBi
